日期,收盘,开盘,高,低,交易量,涨跌幅
2022年10月31日,111.455,110.69,111.535,110.585,-,0.77%
2022年10月28日,110.606,110.395,110.925,110.135,38.12K,0.14%
2022年10月27日,110.453,109.45,110.48,109.365,50.40K,0.82%
2022年10月26日,109.552,110.84,111.015,109.465,50.48K,-1.15%
2022年10月25日,110.83,111.815,112.065,110.625,49.49K,-0.96%
2022年10月24日,111.909,111.605,112.465,111.335,40.55K,-0.06%
2022年10月21日,111.98,112.845,113.835,111.575,113.49K,-0.74%
2022年10月20日,112.818,112.9,113.03,112.05,39.69K,-0.05%
2022年10月19日,112.879,111.815,112.995,111.78,34.23K,0.79%
2022年10月18日,111.994,111.97,112.35,111.63,41.68K,0.08%
2022年10月17日,111.908,113.17,113.17,111.79,41.50K,-1.14%
2022年10月14日,113.202,112.475,113.3,112.06,47.79K,0.85%
2022年10月13日,112.253,113.175,113.85,112.02,78.59K,-0.86%
2022年10月12日,113.224,113.23,113.495,112.905,39.16K,0.08%
2022年10月11日,113.128,113.005,113.47,112.295,47.26K,0.05%
2022年10月10日,113.071,112.655,113.285,112.51,34.69K,0.34%
2022年10月7日,112.683,112.215,112.775,111.865,42.76K,0.45%
2022年10月6日,112.183,110.88,112.235,110.72,33.41K,1.06%
2022年10月5日,111.011,110.075,111.655,109.985,37.55K,0.94%
2022年10月4日,109.981,111.505,111.825,109.965,51.31K,-1.50%
2022年10月3日,111.656,112.15,112.53,111.405,39.38K,-0.38%
2022年9月30日,112.084,111.81,112.7,111.54,54.60K,-0.11%
2022年9月29日,112.202,112.96,113.72,111.95,56.44K,-0.27%
2022年9月28日,112.508,114.105,114.745,112.455,99.32K,-1.35%
2022年9月27日,114.047,113.845,114.425,113.26,55.23K,0.02%
2022年9月26日,114.02,112.99,114.445,112.665,87.87K,0.94%
2022年9月23日,112.962,111.005,113,110.84,54.78K,1.67%
2022年9月22日,111.105,111.22,111.58,110.22,55.61K,0.69%
2022年9月21日,110.346,109.9,111.36,109.86,51.63K,0.37%
2022年9月20日,109.942,109.29,110.015,109.075,28.29K,0.56%
2022年9月19日,109.333,109.29,109.9,109.233,-,-0.16%
2022年9月16日,109.506,109.54,109.995,109.2,46.85K,0.05%
2022年9月15日,109.452,109.345,109.65,109.15,35.23K,0.07%
2022年9月14日,109.371,109.52,109.635,108.98,27.36K,-0.14%
2022年9月13日,109.528,108.03,109.635,107.45,17.95K,1.32%
2022年9月12日,108.096,108.365,108.605,107.57,15.79K,-0.58%
2022年9月9日,108.732,109.29,109.29,108.1,3.80K,-0.66%
2022年9月8日,109.458,109.425,109.97,109.04,2.75K,-0.10%
2022年9月7日,109.567,110.025,110.48,109.26,1.99K,-0.32%
2022年9月6日,109.919,109.38,110.255,109.125,1.48K,0.61%
2022年9月5日,109.255,109.55,110,109.445,0.55K,0.00%
2022年9月2日,109.255,109.3,109.43,108.66,0.88K,-0.14%
2022年9月1日,109.403,108.52,109.7,108.5,0.78K,0.93%
2022年8月31日,108.4,108.4,108.875,108.055,0.28K,-0.07%
2022年8月30日,108.474,108.385,108.8,108,0.28K,-0.06%
2022年8月29日,108.54,108.695,109.2,108.18,0.86K,0.08%
2022年8月26日,108.451,108.235,108.555,107.265,0.41K,0.29%
2022年8月25日,108.133,108.105,108.31,107.7,0.48K,-0.18%
2022年8月24日,108.326,108.24,108.785,108.005,0.23K,0.06%
2022年8月23日,108.259,108.655,108.9,107.7,0.39K,-0.39%
2022年8月22日,108.681,107.74,108.705,107.74,0.44K,0.81%
2022年8月19日,107.803,107.145,107.84,107.13,0.25K,0.65%
2022年8月18日,107.105,106.145,107.16,106.105,0.17K,0.89%
2022年8月17日,106.161,106.04,106.41,105.96,0.12K,0.11%
2022年8月16日,106.043,106.08,106.425,105.935,0.08K,-0.02%
2022年8月15日,106.068,105.08,106.08,105.08,0.24K,0.88%
2022年8月12日,105.145,104.765,105.345,104.765,0.11K,0.48%
2022年8月11日,104.644,104.76,104.995,104.195,0.07K,-0.08%
2022年8月10日,104.73,105.765,105.825,104.15,0.15K,-1.11%
2022年8月9日,105.902,105.825,105.855,105.555,0.03K,-0.06%
2022年8月8日,105.968,106.19,106.34,105.685,0.23K,-0.15%
2022年8月5日,106.13,105.48,106.46,105.44,0.11K,0.82%
2022年8月4日,105.266,105.96,105.975,105.265,0.05K,-0.73%
2022年8月3日,106.037,105.91,106.3,105.55,0.13K,0.26%
2022年8月2日,105.764,104.965,105.845,104.66,0.10K,0.71%
2022年8月1日,105.016,105.4,105.405,104.83,0.12K,-0.43%
2022年7月29日,105.474,105.75,106.17,105.1,0.13K,-0.42%
2022年7月28日,105.921,105.965,106.52,105.64,0.10K,-0.09%
2022年7月27日,106.016,106.705,106.92,105.855,0.11K,-0.65%
2022年7月26日,106.714,106,106.75,105.795,0.14K,0.64%
2022年7月25日,106.04,106.18,106.335,105.835,0.05K,-0.26%
2022年7月22日,106.316,106.335,106.34,105.725,0.05K,-0.15%
2022年7月21日,106.479,106.655,106.84,106,0.07K,-0.12%
2022年7月20日,106.608,106.165,106.745,105.94,0.16K,0.34%
2022年7月19日,106.25,107.07,107.095,105.975,0.10K,-0.60%
2022年7月18日,106.896,107.3,107.4,106.44,0.05K,-0.64%
2022年7月15日,107.586,108.08,108.185,107.485,0.06K,-0.41%
2022年7月14日,108.032,107.7,108.785,107.675,0.09K,0.60%
2022年7月13日,107.386,107.705,108.05,106.98,0.06K,-0.17%
2022年7月12日,107.567,107.68,108.025,107.385,0.08K,0.09%
2022年7月11日,107.474,106.435,107.675,106.435,0.10K,0.97%
2022年7月8日,106.441,106.435,107.22,106.295,0.13K,-0.14%
2022年7月7日,106.594,106.43,106.68,106.26,0.10K,0.03%
2022年7月6日,106.563,105.93,106.6,105.8,0.04K,0.58%
2022年7月5日,105.95,104.57,106.17,104.57,0.17K,1.34%
2022年7月4日,104.549,104.495,104.665,104.245,0.02K,0.00%
2022年7月1日,104.549,104.2,105.02,104.2,0.04K,0.45%
2022年6月30日,104.084,104.43,104.86,104.06,0.03K,-0.38%
2022年6月29日,104.484,103.93,104.34,103.93,0.01K,0.58%
2022年6月28日,103.881,103.32,103.935,103.32,0.03K,0.54%
2022年6月27日,103.318,103.45,103.47,103.08,0.04K,-0.27%
2022年6月24日,103.599,103.66,103.8,103.4,0.02K,-0.22%
2022年6月23日,103.832,103.72,104.19,103.47,0.03K,0.19%
2022年6月22日,103.631,103.965,104.275,103.375,0.03K,-0.24%
2022年6月21日,103.881,103.85,103.91,103.445,0.07K,-0.28%
2022年6月20日,104.173,104.2,104.2,103.75,0.01K,0.00%
2022年6月17日,104.173,103.285,104.5,103.25,0.08K,1.05%
2022年6月16日,103.087,104.23,104.87,102.95,0.11K,-1.45%
2022年6月15日,104.605,104.45,105.08,104.1,0.09K,-0.37%
2022年6月14日,104.992,104.795,105,104.285,0.21K,0.02%
2022年6月13日,104.966,104.1,105.15,104.095,53.58K,0.92%
2022年6月10日,104.013,103.175,104.1,102.91,44.91K,0.90%
2022年6月9日,103.081,102.44,103.215,102.005,41.28K,0.66%
2022年6月8日,102.406,102.27,102.615,102.125,21.88K,0.23%
2022年6月7日,102.175,102.335,102.7,102.11,13.26K,-0.12%
2022年6月6日,102.295,102,102.315,101.68,13.00K,0.34%
2022年6月3日,101.951,101.565,102.1,101.445,1.66K,0.33%
2022年6月2日,101.617,102.405,102.44,101.53,1.23K,-0.67%
2022年6月1日,102.304,101.54,102.535,101.54,0.92K,0.73%
2022年5月31日,101.566,101.17,101.975,101.17,0.49K,0.48%
2022年5月30日,101.08,101.51,101.555,101.075,0.72K,-0.42%
2022年5月27日,101.503,101.58,101.72,101.255,0.41K,-0.16%
2022年5月26日,101.668,101.86,102.09,101.6,0.59K,-0.21%
2022年5月25日,101.882,101.565,102.265,101.54,0.52K,0.22%
2022年5月24日,101.66,101.925,102.15,101.465,0.78K,-0.25%
2022年5月23日,101.912,102.86,102.86,101.875,0.60K,-1.06%
2022年5月20日,103.008,102.72,103.13,102.68,0.31K,0.42%
2022年5月19日,102.581,103.68,103.68,102.545,0.28K,-1.06%
2022年5月18日,103.682,103.04,103.75,103.04,0.18K,0.48%
2022年5月17日,103.182,104,104.04,103.065,0.21K,-0.81%
2022年5月16日,104.02,104.395,104.415,104,0.12K,-0.36%
2022年5月13日,104.396,104.575,104.8,104.32,0.07K,-0.27%
2022年5月12日,104.682,103.8,104.73,103.78,0.07K,0.99%
2022年5月11日,103.654,103.955,104.15,103.405,-,-0.10%
2022年5月10日,103.753,103.55,103.795,103.305,0.06K,0.24%
2022年5月9日,103.504,103.635,104.015,103.285,0.05K,0.01%
2022年5月6日,103.489,103.375,103.84,103.1,0.06K,-0.07%
2022年5月5日,103.562,102.405,103.71,102.215,0.18K,1.18%
2022年5月4日,102.354,103.24,103.29,102.305,0.07K,-0.84%
2022年5月3日,103.226,103.24,103.285,102.9,0.06K,-0.29%
2022年5月2日,103.526,102.925,103.5,102.88,0.04K,0.80%
2022年4月29日,102.708,103.395,103.395,102.665,0.12K,-0.66%
2022年4月28日,103.389,102.8,103.64,102.8,0.07K,0.68%
2022年4月27日,102.693,102.07,103,102.01,0.08K,0.61%
2022年4月26日,102.073,101.25,102.12,101.23,0.04K,0.57%
2022年4月25日,101.494,100.935,101.525,100.89,0.03K,0.55%
2022年4月22日,100.938,100.3,101.01,100.275,0.10K,0.60%
2022年4月21日,100.339,100.16,100.335,99.59,0.04K,0.20%
2022年4月20日,100.142,100.72,100.72,99.94,0.06K,-0.55%
2022年4月19日,100.694,100.635,100.745,100.49,0.02K,0.19%
2022年4月18日,100.506,100.355,100.575,100.155,0.03K,0.44%
2022年4月14日,100.061,99.665,100.43,99.32,0.05K,0.40%
2022年4月13日,99.663,100.17,100.215,99.575,0.02K,-0.38%
2022年4月12日,100.042,99.795,99.895,99.66,0.01K,0.38%
2022年4月11日,99.664,99.57,99.76,99.5,0.02K,0.17%
2022年4月8日,99.49,99.6,99.93,99.51,0.04K,-0.02%
2022年4月7日,99.505,99.355,99.54,99.35,0.01K,0.19%
2022年4月6日,99.32,99.31,99.5,99.14,0.04K,0.15%
2022年4月5日,99.173,98.66,99.255,98.625,0.02K,0.45%
2022年4月4日,98.729,98.23,98.655,98.23,0.01K,0.36%
2022年4月1日,98.377,98.18,98.4,98.135,0.01K,0.27%
2022年3月31日,98.115,97.6,98.18,97.6,0.03K,0.50%
2022年3月30日,97.63,97.88,97.88,97.5,0.03K,-0.58%
2022年3月29日,98.196,98.84,98.98,97.82,0.01K,-0.62%
2022年3月28日,98.81,98.87,99,98.8,0.01K,0.23%
2022年3月25日,98.582,98.74,98.865,98.42,11.83K,0.02%
2022年3月24日,98.565,98.67,98.67,98.55,0.00K,0.19%
2022年3月23日,98.38,98.63,98.63,98.595,0.00K,0.08%
2022年3月22日,98.298,98.59,98.705,98.28,0.02K,0.01%
2022年3月21日,98.284,98.155,98.17,98,0.01K,0.26%
2022年3月18日,98.027,97.705,98.06,97.705,0.00K,0.27%
2022年3月17日,97.765,98.205,98.225,97.535,0.09K,-0.64%
2022年3月16日,98.396,98.6,98.835,98.16,0.07K,-0.49%
2022年3月15日,98.884,98.825,98.875,98.54,0.04K,-0.14%
2022年3月14日,99.024,99.075,99.3,98.705,15.68K,-0.16%
2022年3月11日,99.183,98.54,99.195,98.285,29.43K,0.64%
2022年3月10日,98.557,98.17,98.625,97.785,30.75K,0.50%
2022年3月9日,98.069,99.22,99.27,97.965,25.00K,-1.21%
2022年3月8日,99.27,99.39,99.47,98.89,15.09K,-0.17%
2022年3月7日,99.436,98.605,99.455,98.605,13.32K,0.78%
2022年3月4日,98.671,98.035,98.91,97.865,1.85K,0.90%
2022年3月3日,97.793,97.475,97.935,97.455,0.85K,0.40%
2022年3月2日,97.404,97.35,97.82,97.29,1.34K,0.03%
2022年3月1日,97.374,96.73,97.535,96.575,1.31K,0.78%
2022年2月28日,96.619,97.3,97.315,96.54,0.67K,0.08%
2022年2月25日,96.544,96.9,97.15,96.45,0.92K,-0.51%
2022年2月24日,97.043,96.26,97.65,96.2,1.25K,0.98%
2022年2月23日,96.098,95.925,96.15,95.775,0.42K,0.17%
2022年2月22日,95.936,96,96.165,95.79,0.36K,-0.03%
2022年2月21日,95.96,96.09,96.09,95.595,0.65K,0.01%
2022年2月18日,95.952,95.78,96.08,95.66,0.17K,0.24%
2022年2月17日,95.723,95.74,96,95.62,0.65K,0.10%
2022年2月16日,95.627,95.94,95.965,95.6,0.36K,-0.31%
2022年2月15日,95.923,96.125,96.205,95.88,0.67K,-0.38%
2022年2月14日,96.291,95.94,96.35,95.87,0.44K,0.31%
2022年2月11日,95.998,95.8,96.045,95.6,0.69K,0.57%
2022年2月10日,95.458,95.53,95.9,95.085,0.45K,0.04%
2022年2月9日,95.424,95.495,95.57,95.31,0.09K,-0.15%
2022年2月8日,95.566,95.335,95.65,95.315,0.13K,0.25%
2022年2月7日,95.327,95.355,95.54,95.295,0.24K,-0.09%
2022年2月4日,95.41,95.25,95.6,95.1,0.41K,0.09%
2022年2月3日,95.324,95.995,96.15,95.235,0.59K,-0.55%
2022年2月2日,95.855,96.165,96.215,95.75,0.18K,-0.47%
2022年2月1日,96.305,96.6,96.6,96.15,0.51K,-0.16%
2022年1月31日,96.462,97.12,97.165,96.445,0.25K,-0.73%
2022年1月28日,97.176,97.12,97.3,96.975,0.13K,0.02%
2022年1月27日,97.157,96.48,97.2,96.475,0.52K,0.85%
2022年1月26日,96.335,95.895,96.445,95.84,0.11K,0.49%
2022年1月25日,95.863,95.91,96.18,95.88,0.07K,0.03%
2022年1月24日,95.836,95.62,96.05,95.615,0.11K,0.28%
2022年1月21日,95.566,95.735,95.735,95.46,0.28K,-0.09%
2022年1月20日,95.655,95.44,95.75,95.38,0.08K,0.23%
2022年1月19日,95.44,95.685,95.72,95.43,0.03K,-0.23%
2022年1月18日,95.658,95.115,95.735,95.07,0.09K,0.58%
2022年1月17日,95.106,95.13,95.26,94.98,0.09K,0.00%
2022年1月14日,95.106,94.75,95.155,94.58,0.15K,0.41%
2022年1月13日,94.715,94.92,94.945,94.615,0.06K,-0.14%
2022年1月12日,94.846,95.53,95.61,94.85,0.18K,-0.75%
2022年1月11日,95.565,95.88,95.915,95.565,0.05K,-0.39%
2022年1月10日,95.935,95.75,96.13,95.73,0.05K,0.27%
2022年1月7日,95.672,96.185,96.19,95.7,0.11K,-0.63%
2022年1月6日,96.281,96.12,96.305,96.1,0.04K,0.16%
2022年1月5日,96.127,96.1,96.165,95.86,0.07K,-0.11%
2022年1月4日,96.229,96.205,96.375,96.005,0.04K,0.07%
2022年1月3日,96.166,95.715,96.235,95.7,0.06K,0.64%
2021年12月31日,95.553,95.915,96,95.565,0.06K,-0.38%
2021年12月30日,95.919,95.865,96.16,95.86,0.05K,0.03%
2021年12月29日,95.886,96.115,96.31,95.685,0.07K,-0.29%
2021年12月28日,96.168,96.06,96.175,95.98,0.05K,0.12%
2021年12月27日,96.051,96.085,96.17,96.02,0.03K,0.10%
2021年12月23日,95.955,96.035,96.135,95.935,0.02K,-0.09%
2021年12月22日,96.039,96.38,96.525,95.99,0.04K,-0.43%
2021年12月21日,96.454,96.42,96.53,96.345,0.02K,-0.06%
2021年12月20日,96.515,96.585,96.6,96.3,0.02K,0.00%
2021年12月17日,96.513,95.93,96.6,95.88,0.02K,0.56%
2021年12月16日,95.98,96.375,96.375,95.84,0.25K,-0.50%
2021年12月15日,96.467,96.48,96.8,96.255,0.04K,-0.05%
2021年12月14日,96.513,96.33,96.515,96.09,0.07K,0.25%
2021年12月13日,96.272,96.085,96.42,96.025,10.94K,0.21%
2021年12月10日,96.074,96.235,96.415,95.95,18.92K,-0.16%
2021年12月9日,96.232,95.965,96.325,95.945,20.25K,0.38%
2021年12月8日,95.865,96.26,96.36,95.815,22.87K,-0.50%
2021年12月7日,96.345,96.26,96.565,96.15,12.52K,0.04%
2021年12月6日,96.305,96.15,96.405,96.095,13.94K,0.24%
2021年12月3日,96.074,96.1,96.4,95.9,1.88K,-0.04%
2021年12月2日,96.108,96,96.115,95.775,0.96K,0.15%
2021年12月1日,95.964,95.91,96.045,95.61,0.99K,0.03%
2021年11月30日,95.937,96.165,96.565,95.5,0.93K,-0.34%
2021年11月29日,96.268,96.15,96.37,96.08,0.86K,0.24%
2021年11月26日,96.034,96.65,96.685,95.945,1.13K,-0.79%
2021年11月25日,96.802,96.71,96.72,96.6,0.20K,0.00%
2021年11月24日,96.802,96.51,96.845,96.37,0.29K,0.39%
2021年11月23日,96.424,96.375,96.53,96.26,0.35K,-0.05%
2021年11月22日,96.474,96,96.48,95.99,1.00K,0.54%
2021年11月19日,95.958,95.53,96.145,95.525,0.20K,0.50%
2021年11月18日,95.477,95.71,95.765,95.46,0.23K,-0.30%
2021年11月17日,95.764,95.8,96.17,95.695,0.38K,-0.09%
2021年11月16日,95.851,95.39,95.9,95.36,0.15K,0.54%
2021年11月15日,95.34,95.06,95.475,94.915,0.12K,0.29%
2021年11月12日,95.063,95.185,95.2,94.945,0.14K,-0.05%
2021年11月11日,95.115,94.865,95.14,94.765,0.31K,0.36%
2021年11月10日,94.773,93.945,94.835,93.935,0.36K,0.93%
2021年11月9日,93.896,94,94.1,93.81,0.35K,-0.09%
2021年11月8日,93.982,94.295,94.373,93.983,-,-0.29%
2021年11月5日,94.252,94.285,94.56,94.115,0.21K,-0.03%
2021年11月4日,94.281,93.755,94.4,93.755,0.12K,0.51%
2021年11月3日,93.803,94.06,94.155,93.765,0.10K,-0.24%
2021年11月2日,94.024,93.87,94.06,93.78,0.06K,0.21%
2021年11月1日,93.824,94.06,94.195,93.815,0.28K,-0.25%
2021年10月29日,94.061,93.28,94.225,93.265,0.56K,0.85%
2021年10月28日,93.266,93.805,93.89,93.2,0.23K,-0.51%
2021年10月27日,93.743,93.83,93.915,93.65,0.16K,-0.14%
2021年10月26日,93.876,93.81,93.95,93.64,0.15K,0.13%
2021年10月25日,93.754,93.61,93.895,93.415,0.09K,0.19%
2021年10月22日,93.575,93.69,93.705,93.48,0.04K,-0.14%
2021年10月21日,93.708,93.57,93.72,93.44,0.05K,0.24%
2021年10月20日,93.485,93.735,93.8,93.495,0.07K,-0.21%
2021年10月19日,93.678,93.83,93.84,93.445,0.24K,-0.23%
2021年10月18日,93.89,93.895,94.125,93.855,0.05K,0.01%
2021年10月15日,93.883,93.865,94.015,93.865,0.03K,-0.03%
2021年10月14日,93.911,93.97,94.01,93.7,0.11K,-0.12%
2021年10月13日,94.025,94.415,94.415,93.96,0.08K,-0.46%
2021年10月12日,94.464,94.36,94.5,94.2,0.14K,0.20%
2021年10月11日,94.271,94.03,94.335,94.03,0.03K,0.27%
2021年10月8日,94.014,94.2,94.26,93.905,0.29K,-0.16%
2021年10月7日,94.161,94.185,94.21,94.05,0.08K,-0.06%
2021年10月6日,94.222,93.95,94.4,93.95,0.17K,0.33%
2021年10月5日,93.912,93.85,93.985,93.825,0.04K,0.20%
2021年10月4日,93.725,93.94,94.055,93.62,0.06K,-0.28%
2021年10月1日,93.987,94.26,94.265,93.95,0.07K,-0.20%
2021年9月30日,94.18,94.265,94.435,94.13,0.32K,-0.12%
2021年9月29日,94.293,93.72,94.345,93.62,0.44K,0.62%
2021年9月28日,93.71,93.35,93.735,93.35,0.61K,0.42%
2021年9月27日,93.321,93.175,93.4,93.135,0.03K,0.05%
2021年9月24日,93.275,93.09,93.34,93.09,0.02K,0.33%
2021年9月23日,92.97,93.42,93.45,92.935,0.09K,-0.45%
2021年9月22日,93.39,93.145,93.445,93,0.07K,0.26%
2021年9月21日,93.145,93.175,93.175,93,0.03K,-0.06%
2021年9月20日,93.201,93.27,93.35,93.16,0.02K,0.09%
2021年9月17日,93.121,92.785,93.14,92.73,0.02K,0.28%
2021年9月16日,92.859,92.575,92.89,92.575,0.09K,0.42%
2021年9月15日,92.474,92.585,92.59,92.39,0.02K,-0.08%
2021年9月14日,92.549,92.56,92.59,92.24,0.08K,-0.11%
2021年9月13日,92.65,92.6,92.88,92.55,19.90K,0.08%
2021年9月10日,92.574,92.515,92.65,92.315,21.09K,0.11%
2021年9月9日,92.474,92.685,92.765,92.365,31.99K,-0.18%
2021年9月8日,92.644,92.55,92.85,92.47,14.37K,0.15%
2021年9月7日,92.509,92.165,92.575,92.1,17.59K,0.53%
2021年9月6日,92.019,92.1,92.305,92.1,2.02K,0.00%
2021年9月3日,92.019,92.225,92.255,91.935,5.95K,-0.23%
2021年9月2日,92.233,92.51,92.54,92.2,1.40K,-0.24%
2021年9月1日,92.454,92.665,92.79,92.38,1.13K,-0.20%
2021年8月31日,92.635,92.7,92.75,92.41,1.30K,-0.02%
2021年8月30日,92.657,92.71,92.785,92.605,0.49K,-0.04%
2021年8月27日,92.695,93.08,93.18,92.63,1.83K,-0.40%
2021年8月26日,93.068,92.82,93.075,92.805,0.49K,0.27%
2021年8月25日,92.82,92.9,93.11,92.81,0.47K,-0.07%
2021年8月24日,92.886,93,93.07,92.8,0.56K,-0.07%
2021年8月23日,92.951,93.45,93.505,92.95,0.76K,-0.58%
2021年8月20日,93.493,93.585,93.71,93.44,0.33K,-0.08%
2021年8月19日,93.568,93.22,93.575,93.22,0.61K,0.48%
2021年8月18日,93.124,93.13,93.25,92.96,0.39K,0.00%
2021年8月17日,93.12,92.61,93.14,92.61,0.22K,0.56%
2021年8月16日,92.599,92.49,92.635,92.46,0.19K,0.11%
2021年8月13日,92.501,92.97,92.98,92.45,0.50K,-0.55%
2021年8月12日,93.013,92.89,93.01,92.83,0.16K,0.12%
2021年8月11日,92.898,93.065,93.175,92.8,0.32K,-0.14%
2021年8月10日,93.025,92.96,93.105,92.92,0.45K,0.12%
2021年8月9日,92.915,92.805,92.975,92.7,0.17K,0.15%
2021年8月6日,92.78,92.27,92.825,92.255,0.20K,0.59%
2021年8月5日,92.239,92.28,92.315,92.115,0.17K,-0.02%
2021年8月4日,92.259,92.075,92.295,91.8,0.29K,0.21%
2021年8月3日,92.063,92.045,92.125,91.9,0.14K,0.02%
2021年8月2日,92.04,92.1,92.145,91.9,0.33K,-0.14%
2021年7月30日,92.168,91.88,92.17,91.775,0.16K,0.35%
2021年7月29日,91.851,92.24,92.27,91.84,0.71K,-0.48%
2021年7月28日,92.292,92.46,92.7,92.22,0.31K,-0.13%
2021年7月27日,92.411,92.545,92.825,92.305,0.28K,-0.24%
2021年7月26日,92.631,92.88,92.915,92.53,0.47K,-0.30%
2021年7月23日,92.908,92.8,93,92.76,0.26K,0.11%
2021年7月22日,92.81,92.785,92.885,92.495,0.53K,0.07%
2021年7月21日,92.745,92.97,93.16,92.71,0.43K,-0.23%
2021年7月20日,92.959,92.83,93.16,92.81,0.40K,0.09%
2021年7月19日,92.88,92.69,93.01,92.615,0.46K,0.23%
2021年7月16日,92.667,92.545,92.74,92.525,0.10K,0.07%
2021年7月15日,92.606,92.385,92.65,92.285,0.12K,0.24%
2021年7月14日,92.385,92.765,92.775,92.335,0.15K,-0.38%
2021年7月13日,92.734,92.195,92.79,92.195,0.11K,0.54%
