日期,收盘,开盘,高,低,交易量,涨跌幅
2021年7月12日,92.236,92.12,92.37,92.075,0.06K,0.14%
2021年7月9日,92.103,92.37,92.465,92.08,0.10K,-0.32%
2021年7月8日,92.395,92.7,92.76,92.245,0.17K,-0.25%
2021年7月7日,92.625,92.515,92.82,92.47,0.12K,0.12%
2021年7月6日,92.518,92.23,92.64,91.985,0.18K,0.14%
2021年7月5日,92.393,92.235,92.32,92.135,0.10K,0.00%
2021年7月2日,92.393,92.53,92.695,92.17,0.20K,-0.21%
2021年7月1日,92.583,92.33,92.585,92.25,0.13K,0.18%
2021年6月30日,92.421,92,92.415,91.99,0.05K,0.43%
2021年6月29日,92.021,91.855,92.165,91.855,0.11K,0.18%
2021年6月28日,91.856,91.735,91.975,91.675,0.14K,0.03%
2021年6月25日,91.829,91.735,91.78,91.5,0.05K,0.05%
2021年6月24日,91.78,91.765,91.825,91.65,0.04K,0.01%
2021年6月23日,91.77,91.72,91.835,91.5,0.16K,0.04%
2021年6月22日,91.731,91.925,92.095,91.65,0.08K,-0.14%
2021年6月21日,91.861,92.225,92.315,91.83,0.17K,-0.36%
2021年6月18日,92.189,91.88,92.345,91.785,0.16K,0.37%
2021年6月17日,91.848,91.38,91.95,91.28,0.24K,0.73%
2021年6月16日,91.182,90.48,91.28,90.42,0.24K,0.77%
2021年6月15日,90.487,90.465,90.665,90.32,0.12K,0.00%
2021年6月14日,90.488,90.49,90.57,90.37,10.27K,-0.04%
2021年6月11日,90.527,90.04,90.58,89.915,24.18K,0.55%
2021年6月10日,90.031,90.1,90.275,89.935,31.17K,-0.07%
2021年6月9日,90.093,90.095,90.135,89.795,13.78K,0.07%
2021年6月8日,90.031,89.945,90.135,89.92,10.65K,0.13%
2021年6月7日,89.914,90.17,90.305,89.88,17.38K,-0.25%
2021年6月4日,90.14,90.51,90.625,90.03,1.98K,-0.40%
2021年6月3日,90.505,89.92,90.555,89.89,1.83K,0.67%
2021年6月2日,89.906,89.885,90.24,89.855,1.32K,0.10%
2021年6月1日,89.815,89.8,89.92,89.65,0.96K,-0.20%
2021年5月31日,89.998,90.01,90.115,89.8,0.42K,0.00%
2021年5月28日,89.998,90.03,90.43,89.975,0.71K,0.04%
2021年5月27日,89.959,90.1,90.175,89.9,0.53K,-0.08%
2021年5月26日,90.03,89.66,90.1,89.575,0.32K,0.44%
2021年5月25日,89.633,89.8,89.835,89.545,0.64K,-0.24%
2021年5月24日,89.853,89.975,90.065,89.785,0.18K,-0.18%
2021年5月21日,90.013,89.75,90.155,89.645,0.31K,0.23%
2021年5月20日,89.805,90.23,90.235,89.76,0.25K,-0.44%
2021年5月19日,90.201,89.795,90.28,89.69,0.48K,0.50%
2021年5月18日,89.749,90.18,90.185,89.695,0.62K,-0.45%
2021年5月17日,90.152,90.35,90.4,90.13,0.35K,-0.20%
2021年5月14日,90.337,90.805,90.805,90.28,0.41K,-0.46%
2021年5月13日,90.75,90.725,90.91,90.57,1.07K,0.09%
2021年5月12日,90.671,90.26,90.82,90.135,1.05K,0.62%
2021年5月11日,90.109,90.26,90.3,89.93,0.38K,-0.07%
2021年5月10日,90.17,90.155,90.3,90.005,0.35K,-0.03%
2021年5月7日,90.201,90.82,90.925,90.165,0.38K,-0.78%
2021年5月6日,90.911,91.235,91.325,90.85,0.18K,-0.39%
2021年5月5日,91.263,91.245,91.41,91.145,0.09K,0.02%
2021年5月4日,91.247,90.995,91.325,90.99,0.18K,0.38%
2021年5月3日,90.905,91.245,91.325,90.835,0.24K,-0.37%
2021年4月30日,91.244,90.58,91.275,90.565,0.24K,0.74%
2021年4月29日,90.573,90.51,90.7,90.4,0.13K,0.00%
2021年4月28日,90.573,90.96,91.07,90.53,0.09K,-0.33%
2021年4月27日,90.872,90.845,91,90.77,0.06K,0.12%
2021年4月26日,90.76,90.8,90.895,90.65,0.22K,-0.08%
2021年4月23日,90.829,91.195,91.2,90.785,0.12K,-0.52%
2021年4月22日,91.306,91.06,91.35,90.97,0.22K,0.21%
2021年4月21日,91.118,91.2,91.395,91.055,0.12K,-0.10%
2021年4月20日,91.212,91.02,91.2,90.85,0.37K,0.19%
2021年4月19日,91.04,91.57,91.7,91.02,0.39K,-0.53%
2021年4月16日,91.529,91.715,91.77,91.475,0.11K,-0.08%
2021年4月15日,91.603,91.615,91.725,91.485,0.15K,-0.07%
2021年4月14日,91.664,91.76,91.78,91.58,0.09K,-0.19%
2021年4月13日,91.834,92.155,92.36,91.78,0.21K,-0.32%
2021年4月12日,92.129,92.215,92.32,92,0.11K,-0.02%
2021年4月9日,92.15,92.065,92.385,92.055,0.09K,0.10%
2021年4月8日,92.054,92.415,92.455,92,0.10K,-0.44%
2021年4月7日,92.457,92.335,92.385,92.165,0.08K,0.13%
2021年4月6日,92.333,92.53,92.75,92.29,0.11K,-0.27%
2021年4月5日,92.585,92.96,93.09,92.55,0.23K,-0.48%
2021年4月2日,93.036,92.88,93.055,92.845,0.04K,0.11%
2021年4月1日,92.932,93.19,93.325,92.88,0.14K,-0.31%
2021年3月31日,93.221,93.275,93.43,93,0.16K,-0.09%
2021年3月30日,93.301,92.885,93.335,92.885,0.10K,0.39%
2021年3月29日,92.936,92.77,92.935,92.73,0.07K,0.20%
2021年3月26日,92.755,92.835,92.835,92.65,0.10K,-0.05%
2021年3月25日,92.806,92.605,92.89,92.515,0.11K,0.32%
2021年3月24日,92.51,92.4,92.6,92.33,0.11K,0.20%
2021年3月23日,92.328,91.8,92.335,91.8,0.14K,0.66%
2021年3月22日,91.721,92.065,92.125,91.69,0.18K,-0.20%
2021年3月19日,91.905,91.905,92.12,91.69,0.15K,0.07%
2021年3月18日,91.845,91.33,91.9,91.29,0.19K,0.47%
2021年3月17日,91.413,91.91,91.965,91.35,0.17K,-0.49%
2021年3月16日,91.86,91.82,92.005,91.675,0.10K,0.03%
2021年3月15日,91.832,91.655,91.97,91.54,28.21K,0.17%
2021年3月12日,91.677,91.42,91.96,91.38,29.37K,0.29%
2021年3月11日,91.415,91.85,91.895,91.34,42.13K,-0.45%
2021年3月10日,91.828,92.01,92.26,91.775,17.66K,-0.14%
2021年3月9日,91.96,92.43,92.53,91.915,10.35K,-0.42%
2021年3月8日,92.344,91.9,92.455,91.85,7.41K,0.39%
2021年3月5日,91.989,91.69,92.21,91.63,5.90K,0.40%
2021年3月4日,91.624,91.015,91.675,90.98,1.55K,0.77%
2021年3月3日,90.927,90.8,91.06,90.62,1.44K,0.16%
2021年3月2日,90.78,91.075,91.39,90.725,1.76K,-0.26%
2021年3月1日,91.018,90.925,91.125,90.7,2.07K,0.17%
2021年2月26日,90.862,90.32,90.955,90.13,1.15K,0.82%
2021年2月25日,90.12,90.085,90.275,89.655,2.52K,-0.03%
2021年2月24日,90.145,90.055,90.415,89.945,0.58K,0.00%
2021年2月23日,90.142,89.985,90.215,89.905,0.35K,0.18%
2021年2月22日,89.979,90.33,90.55,89.965,0.46K,-0.40%
2021年2月19日,90.343,90.53,90.63,90.17,0.49K,-0.25%
2021年2月18日,90.57,90.85,90.965,90.51,0.34K,-0.38%
2021年2月17日,90.919,90.7,91.02,90.6,0.28K,0.49%
2021年2月16日,90.473,90.275,90.6,90.08,0.30K,0.04%
2021年2月15日,90.435,90.3,90.37,90.24,0.05K,0.00%
2021年2月12日,90.435,90.415,90.68,90.34,0.15K,0.06%
2021年2月11日,90.378,90.415,90.425,90.215,0.11K,0.06%
2021年2月10日,90.328,90.45,90.49,90.21,0.21K,-0.08%
2021年2月9日,90.399,90.875,90.875,90.385,0.26K,-0.54%
2021年2月8日,90.894,90.93,91.185,90.845,0.55K,-0.12%
2021年2月5日,91.007,91.485,91.57,90.95,0.36K,-0.53%
2021年2月4日,91.495,91.075,91.55,91.07,0.21K,0.41%
2021年2月3日,91.123,91,91.25,90.955,0.17K,-0.04%
2021年2月2日,91.155,90.965,91.26,90.795,0.23K,0.24%
2021年2月1日,90.94,90.575,91.02,90.465,0.17K,0.44%
2021年1月29日,90.54,90.61,90.725,90.32,0.21K,0.15%
2021年1月28日,90.402,90.735,90.795,90.37,0.19K,-0.22%
2021年1月27日,90.605,90.14,90.83,90.1,0.18K,0.54%
2021年1月26日,90.118,90.305,90.525,90.07,0.10K,-0.25%
2021年1月25日,90.343,90.215,90.475,90.04,0.11K,0.18%
2021年1月22日,90.182,90.065,90.27,90.045,0.23K,0.09%
2021年1月21日,90.097,90.275,90.315,90.015,0.17K,-0.38%
2021年1月20日,90.439,90.388,90.69,90.248,-,-0.01%
2021年1月19日,90.446,90.68,90.725,90.385,0.26K,-0.31%
2021年1月18日,90.727,90.675,90.91,90.675,0.09K,0.00%
2021年1月15日,90.727,90.2,90.75,90.2,0.21K,0.60%
2021年1月14日,90.189,90.225,90.52,90.065,0.14K,-0.14%
2021年1月13日,90.314,89.98,90.4,89.88,0.14K,0.30%
2021年1月12日,90.044,90.445,90.55,89.99,0.15K,-0.42%
2021年1月11日,90.422,90.205,90.67,90.17,0.18K,0.42%
2021年1月8日,90.048,89.855,90.145,89.62,0.29K,0.31%
2021年1月7日,89.771,89.345,89.9,89.345,0.13K,0.32%
2021年1月6日,89.482,89.36,89.75,89.155,0.12K,0.10%
2021年1月5日,89.389,89.79,89.79,89.375,0.09K,-0.48%
2021年1月4日,89.819,89.735,89.89,89.38,0.13K,-0.04%
2020年12月31日,89.859,89.5,89.93,89.5,0.09K,0.27%
2020年12月30日,89.614,89.868,89.9,89.515,-,-0.30%
2020年12月29日,89.883,90.1,90.1,89.83,0.04K,-0.40%
2020年12月28日,90.24,90.1,90.26,89.89,0.07K,0.03%
2020年12月24日,90.215,90.115,90.225,90.075,0.02K,-0.10%
2020年12月23日,90.306,90.4,90.46,90.07,0.03K,-0.23%
2020年12月22日,90.511,90.055,90.55,90.055,0.04K,0.66%
2020年12月21日,89.914,90,90.91,89.97,0.09K,-0.01%
2020年12月18日,89.92,89.805,89.9,89.77,0.01K,0.24%
2020年12月17日,89.706,90.05,90.05,89.62,0.23K,-0.69%
2020年12月16日,90.327,90.33,90.56,90.03,0.05K,-0.05%
2020年12月15日,90.369,90.55,90.685,90.325,0.02K,-0.32%
2020年12月14日,90.655,90.73,90.845,90.345,23.43K,-0.30%
2020年12月11日,90.924,90.67,90.975,90.545,21.50K,0.19%
2020年12月10日,90.751,91,91.08,90.575,27.05K,-0.29%
2020年12月9日,91.011,90.83,91.12,90.595,14.05K,0.14%
2020年12月8日,90.88,90.825,90.925,90.66,10.38K,0.20%
2020年12月7日,90.702,90.675,91.15,90.515,8.92K,0.10%
2020年12月4日,90.609,90.585,90.78,90.38,7.98K,-0.04%
2020年12月3日,90.645,91.03,91.03,90.435,1.98K,-0.45%
2020年12月2日,91.052,91.16,91.43,90.915,1.00K,-0.19%
2020年12月1日,91.227,91.825,91.835,91.085,1.00K,-0.62%
2020年11月30日,91.792,91.695,91.955,91.425,0.90K,0.06%
2020年11月27日,91.741,91.93,91.98,91.69,0.21K,-0.18%
2020年11月26日,91.906,91.905,92.1,91.785,0.22K,0.00%
2020年11月25日,91.906,92.118,92.252,91.91,-,-0.28%
2020年11月24日,92.165,92.445,92.5,92.065,0.42K,-0.29%
2020年11月23日,92.434,92.325,92.73,91.955,0.35K,0.11%
2020年11月20日,92.335,92.25,92.35,92.15,0.16K,0.11%
2020年11月19日,92.234,92.445,92.62,92.19,0.19K,-0.03%
2020年11月18日,92.261,92.405,92.45,92.15,0.13K,-0.09%
2020年11月17日,92.348,92.445,92.485,92.2,0.15K,-0.25%
2020年11月16日,92.58,92.62,92.785,92.4,0.14K,-0.14%
2020年11月13日,92.708,92.895,92.96,92.67,0.11K,-0.22%
2020年11月12日,92.915,92.97,93.045,92.73,0.21K,-0.08%
2020年11月11日,92.994,92.665,93.165,92.6,0.17K,0.31%
2020年11月10日,92.706,92.715,92.935,92.585,0.16K,0.02%
2020年11月9日,92.685,92.155,92.925,92.12,0.40K,0.53%
2020年11月6日,92.195,92.75,92.75,92.13,0.23K,-0.31%
2020年11月5日,92.486,93.36,93.365,92.485,0.28K,-0.96%
2020年11月4日,93.381,93.555,94.25,93.23,0.15K,-0.16%
2020年11月3日,93.53,93.98,93.98,93.305,0.07K,-0.61%
2020年11月2日,94.105,94.105,94.165,93.965,0.15K,0.10%
2020年10月30日,94.007,93.91,94.01,93.755,0.08K,0.07%
2020年10月29日,93.942,93.4,94.075,93.325,0.13K,0.60%
2020年10月28日,93.379,93.125,93.615,93.125,0.16K,0.52%
2020年10月27日,92.897,92.915,93,92.79,0.10K,-0.12%
2020年10月26日,93.009,92.715,93.05,92.715,0.04K,0.30%
2020年10月23日,92.73,93.065,93.065,92.635,0.06K,-0.21%
2020年10月22日,92.929,92.675,92.93,92.61,0.08K,0.39%
2020年10月21日,92.564,92.92,92.92,92.46,0.12K,-0.49%
2020年10月20日,93.016,93.4,93.46,92.975,0.10K,-0.40%
2020年10月19日,93.394,93.69,93.69,93.185,0.12K,-0.27%
2020年10月16日,93.644,93.77,93.81,93.505,0.10K,-0.20%
2020年10月15日,93.829,93.395,93.85,93.385,0.07K,0.52%
2020年10月14日,93.346,93.525,93.525,93.245,0.14K,-0.17%
2020年10月13日,93.501,93.045,93.58,93.045,0.15K,0.47%
2020年10月12日,93.066,93.115,93.205,93.01,0.06K,0.03%
2020年10月9日,93.04,93.4,93.405,92.975,0.08K,-0.62%
2020年10月8日,93.623,93.66,93.775,93.535,0.16K,-0.03%
2020年10月7日,93.653,93.85,93.94,93.6,0.08K,-0.07%
2020年10月6日,93.719,93.4,93.87,93.4,0.15K,0.20%
2020年10月5日,93.53,93.845,93.845,93.395,0.13K,-0.37%
2020年10月2日,93.874,93.755,94.03,93.705,0.10K,0.16%
2020年10月1日,93.725,93.89,93.925,93.58,0.12K,-0.18%
2020年9月30日,93.897,93.88,94.19,93.715,0.09K,0.00%
2020年9月29日,93.895,94.235,94.28,93.865,0.13K,-0.40%
2020年9月28日,94.269,94.55,94.56,94.145,0.12K,-0.40%
2020年9月25日,94.647,94.37,94.69,94.215,0.08K,0.31%
2020年9月24日,94.358,94.28,94.58,94.215,0.13K,-0.04%
2020年9月23日,94.398,94.04,94.425,93.95,0.18K,0.45%
2020年9月22日,93.978,93.56,94.075,93.46,0.13K,0.36%
2020年9月21日,93.639,92.995,93.75,92.995,0.04K,0.79%
2020年9月18日,92.907,92.8,92.945,92.77,0.02K,-0.01%
2020年9月17日,92.919,93.37,93.37,92.865,0.02K,-0.27%
2020年9月16日,93.171,93.07,93.085,92.76,0.02K,0.16%
2020年9月15日,93.025,93.07,93.185,92.79,18.64K,-0.04%
2020年9月14日,93.06,93.335,93.34,92.865,24.01K,-0.30%
2020年9月11日,93.338,93.365,93.4,93.075,27.44K,0.02%
2020年9月10日,93.316,93.255,93.445,92.68,34.05K,0.08%
2020年9月9日,93.244,93.545,93.64,93.1,12.55K,-0.19%
2020年9月8日,93.425,93.055,93.515,92.99,14.64K,0.77%
2020年9月7日,92.709,92.785,93.08,92.785,2.89K,0.00%
2020年9月4日,92.709,92.825,93.245,92.66,5.77K,-0.03%
2020年9月3日,92.735,92.69,93.075,92.69,2.51K,-0.11%
2020年9月2日,92.839,92.265,92.88,92.265,1.29K,0.54%
2020年9月1日,92.342,92.135,92.405,91.75,1.12K,0.22%
2020年8月31日,92.141,92.23,92.5,92.01,1.31K,-0.27%
2020年8月28日,92.389,93.1,93.1,92.2,0.94K,-0.66%
2020年8月27日,93.006,92.85,93.35,92.445,0.57K,-0.02%
2020年8月26日,93.026,93.03,93.365,92.86,0.80K,-0.02%
2020年8月25日,93.049,93.38,93.395,92.99,0.37K,-0.29%
2020年8月24日,93.319,93.2,93.38,92.88,0.23K,0.05%
2020年8月21日,93.27,92.69,93.5,92.61,0.35K,0.50%
2020年8月20日,92.808,93.045,93.24,92.74,0.29K,-0.11%
2020年8月19日,92.91,92.25,93.08,92.19,0.20K,0.68%
2020年8月18日,92.286,92.795,92.795,92.135,0.39K,-0.63%
2020年8月17日,92.872,93.07,93.135,92.8,0.28K,-0.26%
2020年8月14日,93.11,93.325,93.4,93.06,0.09K,-0.25%
2020年8月13日,93.342,93.295,93.4,92.925,0.17K,-0.10%
2020年8月12日,93.433,93.735,93.915,93.245,0.14K,-0.21%
2020年8月11日,93.625,93.63,93.75,93.185,0.29K,0.03%
2020年8月10日,93.594,93.455,93.695,93.33,0.15K,0.17%
2020年8月7日,93.432,92.81,93.62,92.81,0.18K,0.69%
2020年8月6日,92.788,92.805,93.105,92.5,0.27K,-0.09%
2020年8月5日,92.87,93.15,93.22,92.6,0.18K,-0.57%
2020年8月4日,93.398,93.6,93.815,93.23,0.16K,-0.14%
2020年8月3日,93.527,93.4,93.975,93.36,0.22K,0.20%
2020年7月31日,93.341,92.665,93.51,92.52,0.46K,0.34%
2020年7月30日,93.024,93.305,93.625,92.915,0.31K,-0.44%
2020年7月29日,93.437,93.73,93.73,93.12,0.19K,-0.23%
2020年7月28日,93.651,93.515,93.965,93.5,0.22K,0.05%
2020年7月27日,93.605,94.295,94.295,93.445,0.25K,-0.82%
2020年7月24日,94.377,94.735,94.735,94.23,0.19K,-0.28%
2020年7月23日,94.639,94.88,95.135,94.54,0.12K,-0.30%
2020年7月22日,94.922,95.07,95.36,94.765,0.21K,-0.13%
2020年7月21日,95.049,95.65,95.79,95,0.13K,-0.74%
2020年7月20日,95.762,95.855,96.115,95.675,0.05K,-0.11%
2020年7月17日,95.864,96.235,96.27,95.87,0.05K,-0.45%
2020年7月16日,96.294,95.985,96.3,95.85,0.08K,0.28%
2020年7月15日,96.025,96.09,96.16,95.79,0.11K,-0.18%
2020年7月14日,96.195,96.5,96.615,96.13,0.12K,-0.20%
2020年7月13日,96.388,96.435,96.58,96.21,0.09K,-0.21%
2020年7月10日,96.589,96.8,96.935,96.59,0.04K,-0.07%
2020年7月9日,96.653,96.375,96.76,96.185,0.07K,0.30%
2020年7月8日,96.368,96.96,96.96,96.355,0.05K,-0.49%
2020年7月7日,96.839,96.585,97.1,96.585,0.02K,0.16%
2020年7月6日,96.682,97.15,97.15,96.515,0.09K,-0.64%
2020年7月3日,97.302,97.155,97.32,97.155,0.03K,0.00%
2020年7月2日,97.302,97.15,97.29,96.745,0.14K,0.14%
2020年7月1日,97.165,97.31,97.58,97.035,0.05K,-0.20%
2020年6月30日,97.359,97.415,97.785,97.29,0.04K,-0.16%
2020年6月29日,97.511,97.26,97.515,97.145,0.07K,0.10%
2020年6月26日,97.417,97.3,97.625,97.27,0.04K,0.02%
2020年6月25日,97.395,97.26,97.56,97.26,0.02K,0.28%
2020年6月24日,97.124,96.555,97.215,96.555,0.02K,0.54%
2020年6月23日,96.603,96.42,96.605,96.41,0.00K,-0.38%
2020年6月22日,96.975,97.58,97.58,97,0.01K,-0.60%
2020年6月19日,97.562,97.43,97.61,97.17,0.03K,0.19%
2020年6月18日,97.38,97,97.46,97,0.03K,0.27%
2020年6月17日,97.115,96.845,97.26,96.79,0.07K,0.22%
2020年6月16日,96.903,96.485,97.17,96.455,0.05K,0.26%
2020年6月15日,96.65,97.25,97.38,96.55,18.52K,-0.70%
2020年6月12日,97.33,96.845,97.465,96.485,23.76K,0.63%
2020年6月11日,96.723,96.1,96.845,95.915,25.34K,0.86%
2020年6月10日,95.897,96.425,96.495,95.57,13.72K,-0.39%
2020年6月9日,96.271,96.545,97.005,96.18,5.58K,-0.29%
2020年6月8日,96.555,96.835,97.035,96.535,6.53K,-0.35%
2020年6月5日,96.892,96.705,97.02,96.46,1.38K,0.28%
2020年6月4日,96.624,97.26,97.605,96.54,1.05K,-0.62%
2020年6月3日,97.231,97.585,97.585,97.14,0.74K,-0.41%
2020年6月2日,97.631,97.815,97.875,97.395,0.39K,-0.16%
2020年6月1日,97.79,98.27,98.29,97.75,0.24K,-0.54%
2020年5月29日,98.323,98.48,98.56,97.93,0.55K,-0.04%
2020年5月28日,98.36,98.89,99.035,98.35,0.20K,-0.69%
2020年5月27日,99.048,99.08,99.31,98.71,0.19K,0.13%
2020年5月26日,98.919,99.79,99.79,98.915,0.18K,-0.96%
2020年5月25日,99.88,99.76,99.86,99.745,0.02K,0.00%
2020年5月22日,99.88,99.6,99.885,99.575,0.08K,0.48%
2020年5月21日,99.399,99.25,99.54,99.05,0.08K,0.26%
2020年5月20日,99.137,99.515,99.515,99.02,0.08K,-0.23%
2020年5月19日,99.368,99.655,99.77,99.28,0.15K,-0.33%
2020年5月18日,99.692,100.375,100.5,99.63,0.11K,-0.73%
2020年5月15日,100.429,100.31,100.5,100.15,0.03K,-0.07%
2020年5月14日,100.502,100.4,100.6,100.285,0.02K,0.22%
2020年5月13日,100.286,99.98,100.3,99.7,0.03K,0.34%
2020年5月12日,99.95,100.4,100.5,99.77,0.04K,-0.31%
2020年5月11日,100.26,99.75,100.3,99.75,0.10K,0.49%
2020年5月8日,99.775,99.71,99.97,99.485,0.13K,-0.17%
2020年5月7日,99.941,100.31,100.465,99.895,0.08K,-0.22%
2020年5月6日,100.161,99.915,100.26,99.915,0.03K,0.37%
2020年5月5日,99.787,99.515,100.065,99.45,0.08K,0.21%
2020年5月4日,99.573,99.26,99.645,99.26,0.04K,0.45%
2020年5月1日,99.13,99.265,99.265,98.855,0.01K,0.07%
2020年4月30日,99.058,99.505,99.76,99.01,0.06K,-0.60%
2020年4月29日,99.654,99.865,99.94,99.57,0.01K,-0.29%
2020年4月28日,99.944,100.22,100.255,99.545,0.01K,-0.16%
2020年4月27日,100.107,100.39,100.4,99.9,0.08K,-0.32%
2020年4月24日,100.424,100.675,100.9,100.335,0.06K,-0.10%
2020年4月23日,100.527,100.58,100.77,100.18,0.07K,0.02%
2020年4月22日,100.508,100.37,100.59,100.02,0.05K,0.15%
2020年4月21日,100.354,100.25,100.58,100.25,0.05K,0.32%
2020年4月20日,100.034,99.925,100.115,99.835,0.02K,0.22%
2020年4月17日,99.81,99.715,100.25,99.655,0.04K,-0.25%
2020年4月16日,100.065,99.895,100.2,99.645,0.02K,0.62%
2020年4月15日,99.451,99.035,99.96,99.035,0.03K,0.61%
2020年4月14日,98.852,99.25,99.25,98.78,0.07K,-0.46%
2020年4月13日,99.306,99.38,99.505,99.105,0.01K,-0.17%
2020年4月9日,99.477,100.325,100.325,99.38,0.04K,-0.68%
2020年4月8日,100.155,99.97,100.46,99.97,0.05K,0.23%
2020年4月7日,99.929,100.66,100.66,99.705,0.07K,-0.83%
2020年4月6日,100.77,100.66,101.015,100.66,0.02K,0.09%
2020年4月3日,100.677,100.335,100.985,100.32,0.05K,0.40%
2020年4月2日,100.271,99.75,100.37,99.68,0.04K,0.52%
2020年4月1日,99.753,98.975,99.775,98.975,0.05K,0.67%
2020年3月31日,99.092,99.755,99.985,99,0.04K,-0.16%
2020年3月30日,99.246,98.62,99.29,98.345,0.06K,0.73%
2020年3月27日,98.526,99.485,99.96,98.39,0.05K,-0.95%
2020年3月26日,99.468,100.58,100.58,99.395,0.04K,-1.57%
2020年3月25日,101.055,101.825,101.96,100.855,0.03K,-1.23%
2020年3月24日,102.312,102.8,102.8,101.61,0.09K,-0.98%
2020年3月23日,103.32,103.58,103.97,102.5,0.03K,-0.25%
2020年3月20日,103.582,103.63,103.665,102.5,0.04K,-0.19%
2020年3月19日,103.78,102.07,103.98,101.305,0.03K,2.12%
2020年3月18日,101.623,99.37,102,99.37,0.10K,1.91%
2020年3月17日,99.719,98.53,99.96,98.485,0.05K,1.60%
2020年3月16日,98.152,98.45,98.685,97.58,27.31K,-0.76%
2020年3月13日,98.904,97.595,99.07,97.385,64.17K,1.28%
2020年3月12日,97.654,96.545,98.4,96.015,52.41K,1.26%
2020年3月11日,96.442,96.21,96.535,95.81,10.28K,0.17%
2020年3月10日,96.279,95.225,96.465,95.06,10.29K,1.62%
